# STEP golden vectors — mesh spec step-mesh-v1
# columns: name	lat_deg	lon_deg	level	triangle_id
# DO NOT EDIT BY HAND; regenerate via golden-gen on spec change only
longyearbyen	78.2232000	15.6267000	2	1.1
longyearbyen	78.2232000	15.6267000	5	1.1.1.2.4
longyearbyen	78.2232000	15.6267000	10	1.1.1.2.4.4.1.4.4.4
longyearbyen	78.2232000	15.6267000	15	1.1.1.2.4.4.1.4.4.4.4.1.2.3.1
longyearbyen	78.2232000	15.6267000	21	1.1.1.2.4.4.1.4.4.4.4.1.2.3.1.1.4.3.2.1.1
quito	-0.1807000	-78.4678000	1	14
quito	-0.1807000	-78.4678000	2	14.4
quito	-0.1807000	-78.4678000	5	14.4.3.3.2
quito	-0.1807000	-78.4678000	10	14.4.3.3.2.3.2.1.4.4
quito	-0.1807000	-78.4678000	15	14.4.3.3.2.3.2.1.4.4.4.1.3.3.2
quito	-0.1807000	-78.4678000	21	14.4.3.3.2.3.2.1.4.4.4.1.3.3.2.2.3.2.2.2.3
suva_near_antimeridian	-18.1248000	178.4501000	1	8
suva_near_antimeridian	-18.1248000	178.4501000	2	8.2
suva_near_antimeridian	-18.1248000	178.4501000	5	8.2.1.4.3
suva_near_antimeridian	-18.1248000	178.4501000	10	8.2.1.4.3.3.3.1.2.1
suva_near_antimeridian	-18.1248000	178.4501000	15	8.2.1.4.3.3.3.1.2.1.1.2.3.4.3
suva_near_antimeridian	-18.1248000	178.4501000	21	8.2.1.4.3.3.3.1.2.1.1.2.3.4.3.3.3.1.3.2.1
north_pole	90.0000000	0.0000000	1	1
north_pole	90.0000000	0.0000000	2	1.1
north_pole	90.0000000	0.0000000	5	1.1.1.1.1
north_pole	90.0000000	0.0000000	10	1.1.1.1.1.1.1.1.1.1
north_pole	90.0000000	0.0000000	15	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
north_pole	90.0000000	0.0000000	21	1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
south_pole	-90.0000000	0.0000000	1	16
south_pole	-90.0000000	0.0000000	2	16.2
south_pole	-90.0000000	0.0000000	5	16.2.1.1.1
south_pole	-90.0000000	0.0000000	10	16.2.1.1.1.1.1.1.1.1
south_pole	-90.0000000	0.0000000	15	16.2.1.1.1.1.1.1.1.1.1.1.1.1.1
south_pole	-90.0000000	0.0000000	21	16.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
antimeridian_e	0.0000000	180.0000000	1	8
antimeridian_e	0.0000000	180.0000000	2	8.2
antimeridian_e	0.0000000	180.0000000	5	8.2.2.2.1
antimeridian_e	0.0000000	180.0000000	10	8.2.2.2.1.1.1.1.1.1
antimeridian_e	0.0000000	180.0000000	15	8.2.2.2.1.1.1.1.1.1.1.1.1.1.1
antimeridian_e	0.0000000	180.0000000	21	8.2.2.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
antimeridian_w	0.0000000	-180.0000000	1	8
antimeridian_w	0.0000000	-180.0000000	2	8.2
antimeridian_w	0.0000000	-180.0000000	5	8.2.2.2.1
antimeridian_w	0.0000000	-180.0000000	10	8.2.2.2.1.1.1.1.1.1
antimeridian_w	0.0000000	-180.0000000	15	8.2.2.2.1.1.1.1.1.1.1.1.1.1.1
antimeridian_w	0.0000000	-180.0000000	21	8.2.2.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
antimeridian_n	45.0000000	179.9999900	1	3
antimeridian_n	45.0000000	179.9999900	2	3.4
antimeridian_n	45.0000000	179.9999900	5	3.4.2.4.2
antimeridian_n	45.0000000	179.9999900	10	3.4.2.4.2.4.4.3.1.4
antimeridian_n	45.0000000	179.9999900	15	3.4.2.4.2.4.4.3.1.4.2.1.1.4.2
antimeridian_n	45.0000000	179.9999900	21	3.4.2.4.2.4.4.3.1.4.2.1.1.4.2.1.1.1.1.4.4
antimeridian_s	-45.0000000	-179.9999900	1	18
antimeridian_s	-45.0000000	-179.9999900	2	18.1
antimeridian_s	-45.0000000	-179.9999900	5	18.1.2.3.1
antimeridian_s	-45.0000000	-179.9999900	10	18.1.2.3.1.2.3.2.3.1
antimeridian_s	-45.0000000	-179.9999900	15	18.1.2.3.1.2.3.2.3.1.2.1.3.1.2
antimeridian_s	-45.0000000	-179.9999900	21	18.1.2.3.1.2.3.2.3.1.2.1.3.1.2.3.2.1.3.1.1
equator_prime	0.0000000	0.0000000	1	15
equator_prime	0.0000000	0.0000000	2	15.3
equator_prime	0.0000000	0.0000000	5	15.3.2.2.1
equator_prime	0.0000000	0.0000000	10	15.3.2.2.1.1.1.1.1.1
equator_prime	0.0000000	0.0000000	15	15.3.2.2.1.1.1.1.1.1.1.1.1.1.1
equator_prime	0.0000000	0.0000000	21	15.3.2.2.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1
rand_000	-62.3695809	-5.0769158	10	20.4.1.2.1.4.3.3.3.1
rand_000	-62.3695809	-5.0769158	21	20.4.1.2.1.4.3.3.3.1.4.4.1.3.3.2.1.1.4.1.1
rand_001	-61.4817603	-64.8159279	10	19.4.2.3.1.2.2.1.4.1
rand_001	-61.4817603	-64.8159279	21	19.4.2.3.1.2.2.1.4.1.3.1.1.1.4.4.1.1.4.3.3
rand_002	-55.3493318	101.6497226	10	16.3.3.1.4.3.1.4.3.2
rand_002	-55.3493318	101.6497226	21	16.3.3.1.4.3.1.4.3.2.1.2.2.3.3.3.4.4.1.4.2
rand_003	-51.2816116	-115.9733731	10	18.3.3.4.3.2.4.1.4.4
rand_003	-51.2816116	-115.9733731	21	18.3.3.4.3.2.4.1.4.4.1.4.2.3.3.1.4.4.3.1.3
rand_004	-49.0528284	-27.1106702	10	20.1.2.4.4.1.2.2.3.2
rand_004	-49.0528284	-27.1106702	21	20.1.2.4.4.1.2.2.3.2.2.3.4.2.4.2.1.4.3.4.2
rand_005	-27.2356778	-156.5013748	10	13.1.2.3.3.3.1.3.4.1
rand_005	-27.2356778	-156.5013748	21	13.1.2.3.3.3.1.3.4.1.1.1.3.3.3.2.4.3.3.2.3
rand_006	-48.5036841	-82.5449639	10	19.4.4.3.1.4.4.1.1.2
rand_006	-48.5036841	-82.5449639	21	19.4.4.3.1.4.4.1.1.2.4.1.4.1.3.3.4.3.1.2.4
rand_007	-40.4594963	-21.9631645	10	20.1.4.4.4.1.2.2.1.4
rand_007	-40.4594963	-21.9631645	21	20.1.4.4.4.1.2.2.1.4.3.2.3.4.1.4.4.3.2.3.4
rand_008	13.6009628	84.5091980	10	7.1.2.3.1.3.4.1.2.4
rand_008	13.6009628	84.5091980	21	7.1.2.3.1.3.4.1.2.4.4.1.4.2.2.4.2.4.4.2.1
rand_009	-31.2381473	70.2419578	10	11.1.2.1.1.1.3.4.2.2
rand_009	-31.2381473	70.2419578	21	11.1.2.1.1.1.3.4.2.2.1.4.3.4.2.3.3.1.2.1.2
rand_010	31.2017977	177.6451448	10	8.1.3.1.1.4.1.4.3.2
rand_010	31.2017977	177.6451448	21	8.1.3.1.1.4.1.4.3.2.1.1.2.2.2.3.2.2.2.4.1
rand_011	-9.9947191	123.3334985	10	12.1.3.2.3.3.1.2.1.3
rand_011	-9.9947191	123.3334985	21	12.1.3.2.3.3.1.2.1.3.4.2.1.2.4.4.4.1.4.3.1
rand_012	-25.6359776	-54.2052435	10	14.2.4.3.4.4.2.2.1.1
rand_012	-25.6359776	-54.2052435	21	14.2.4.3.4.4.2.2.1.1.1.1.1.3.1.3.2.4.4.2.3
rand_013	10.6190495	-17.3135117	10	10.3.3.4.4.1.2.4.2.3
rand_013	10.6190495	-17.3135117	21	10.3.3.4.4.1.2.4.2.3.1.2.2.4.3.1.3.1.1.3.3
rand_014	-15.9543587	54.7829670	10	11.1.4.2.2.1.4.1.2.1
rand_014	-15.9543587	54.7829670	21	11.1.4.2.2.1.4.1.2.1.4.2.1.1.1.2.2.1.4.1.1
rand_015	-43.7051125	67.2371271	10	16.4.3.2.4.2.4.4.3.2
rand_015	-43.7051125	67.2371271	21	16.4.3.2.4.2.4.4.3.2.4.2.2.1.2.2.1.4.3.1.4
rand_016	80.9213426	145.7912651	10	3.1.1.2.3.1.2.3.3.2
rand_016	80.9213426	145.7912651	21	3.1.1.2.3.1.2.3.3.2.4.2.4.3.4.3.3.3.1.4.2
rand_017	-43.1801945	100.3124909	10	16.3.4.3.3.2.2.2.4.4
rand_017	-43.1801945	100.3124909	21	16.3.4.3.3.2.2.2.4.4.3.4.3.1.4.4.4.4.1.3.3
rand_018	-24.6043030	-69.2046213	10	14.4.1.1.2.4.1.4.3.4
rand_018	-24.6043030	-69.2046213	21	14.4.1.1.2.4.1.4.3.4.3.4.3.3.3.2.3.2.4.1.4
rand_019	-48.5768759	4.9822545	10	20.4.4.2.2.3.3.4.3.1
rand_019	-48.5768759	4.9822545	21	20.4.4.2.2.3.3.4.3.1.4.1.4.3.1.4.2.1.4.2.2
rand_020	-40.8543195	145.8605177	10	17.4.3.4.3.2.2.1.2.1
rand_020	-40.8543195	145.8605177	21	17.4.3.4.3.2.2.1.2.1.4.1.4.3.4.2.2.2.1.2.1
rand_021	-43.7104424	-19.2286710	10	20.1.4.2.4.4.2.4.1.4
rand_021	-43.7104424	-19.2286710	21	20.1.4.2.4.4.2.4.1.4.4.4.3.2.3.2.3.2.4.4.1
rand_022	43.6202029	99.7957560	10	2.4.2.3.4.1.4.4.4.2
rand_022	43.6202029	99.7957560	21	2.4.2.3.4.1.4.4.4.2.2.2.3.4.4.3.1.1.2.4.3
rand_023	-72.7778483	26.3541379	10	20.2.2.3.1.3.2.3.1.1
rand_023	-72.7778483	26.3541379	21	20.2.2.3.1.3.2.3.1.1.1.1.4.3.3.3.1.2.3.1.1
rand_024	11.0488119	-126.7630834	10	9.1.2.4.4.2.3.2.3.1
rand_024	11.0488119	-126.7630834	21	9.1.2.4.4.2.3.2.3.1.2.1.1.4.1.2.1.1.4.3.3
rand_025	-18.5074752	4.3837752	10	15.4.1.2.4.4.1.4.4.4
rand_025	-18.5074752	4.3837752	21	15.4.1.2.4.4.1.4.4.4.1.4.1.3.4.1.3.4.1.4.4
rand_026	39.6543565	80.6344836	10	2.2.4.3.2.2.2.2.1.1
rand_026	39.6543565	80.6344836	21	2.2.4.3.2.2.2.2.1.1.2.1.4.1.1.2.4.1.4.1.3
rand_027	-69.1520873	-123.6234929	10	18.2.2.3.3.3.2.1.1.2
rand_027	-69.1520873	-123.6234929	21	18.2.2.3.3.3.2.1.1.2.2.1.1.2.1.4.2.3.4.4.3
rand_028	-51.1595780	144.0574135	10	17.4.4.4.2.4.2.1.1.1
rand_028	-51.1595780	144.0574135	21	17.4.4.4.2.4.2.1.1.1.2.3.3.3.1.1.4.1.3.2.4
rand_029	-19.1216047	171.3003779	10	12.2.1.2.4.2.2.4.1.1
rand_029	-19.1216047	171.3003779	21	12.2.1.2.4.2.2.4.1.1.2.3.3.2.4.3.1.3.2.2.4
rand_030	-56.7245393	14.0750463	10	20.4.2.4.2.2.2.1.2.2
rand_030	-56.7245393	14.0750463	21	20.4.2.4.2.2.2.1.2.2.1.2.1.2.3.2.1.4.3.4.4
rand_031	2.4248133	-12.0694456	10	15.3.2.1.4.2.3.2.1.4
rand_031	2.4248133	-12.0694456	21	15.3.2.1.4.2.3.2.1.4.2.2.1.3.2.1.1.2.3.1.4
rand_032	-83.3507811	74.3785996	10	16.2.1.4.1.3.1.1.3.2
rand_032	-83.3507811	74.3785996	21	16.2.1.4.1.3.1.1.3.2.2.1.4.1.2.2.4.1.2.2.3
rand_033	33.6321382	-23.7489295	10	5.3.3.2.3.3.4.4.4.1
rand_033	33.6321382	-23.7489295	21	5.3.3.2.3.3.4.4.4.1.3.4.2.2.4.4.1.2.4.3.4
rand_034	27.0615259	-166.7883332	10	8.3.2.3.3.3.3.2.3.3
rand_034	27.0615259	-166.7883332	21	8.3.2.3.3.3.3.2.3.3.2.2.3.2.2.3.4.1.1.3.4
rand_035	-6.6578171	-41.2759161	10	10.2.3.4.2.1.1.4.3.1
rand_035	-6.6578171	-41.2759161	21	10.2.3.4.2.1.1.4.3.1.3.3.3.3.4.4.2.2.3.3.2
rand_036	53.4324925	-122.9369298	10	4.4.1.2.4.2.1.3.1.4
rand_036	53.4324925	-122.9369298	21	4.4.1.2.4.2.1.3.1.4.1.2.4.2.2.3.2.2.1.1.3
rand_037	-25.2693472	45.2665596	10	11.1.1.4.1.2.2.4.4.3
rand_037	-25.2693472	45.2665596	21	11.1.1.4.1.2.2.4.4.3.1.4.1.3.4.2.3.3.4.2.3
rand_038	-18.3587820	62.3386444	10	11.1.2.2.1.4.4.3.4.2
rand_038	-18.3587820	62.3386444	21	11.1.2.2.1.4.4.3.4.2.4.1.3.3.3.4.2.2.3.3.1
rand_039	-21.8747442	33.7268028	10	6.2.1.1.3.2.2.2.4.1
rand_039	-21.8747442	33.7268028	21	6.2.1.1.3.2.2.2.4.1.3.4.2.4.1.3.4.3.2.1.3
rand_040	-4.2566926	-35.8187840	10	10.2.4.2.4.4.4.2.2.3
rand_040	-4.2566926	-35.8187840	21	10.2.4.2.4.4.4.2.2.3.2.2.4.2.2.4.2.4.3.4.1
rand_041	29.4556481	-156.7335388	10	8.3.1.2.3.2.1.1.4.4
rand_041	29.4556481	-156.7335388	21	8.3.1.2.3.2.1.1.4.4.2.2.3.3.4.4.4.4.2.2.3
rand_042	35.1162577	171.3936005	10	3.2.2.4.3.2.1.2.4.4
rand_042	35.1162577	171.3936005	21	3.2.2.4.3.2.1.2.4.4.2.4.3.1.4.3.1.3.1.1.1
rand_043	10.8459812	-131.9357310	10	9.1.2.3.4.1.1.3.4.1
rand_043	10.8459812	-131.9357310	21	9.1.2.3.4.1.1.3.4.1.1.1.2.1.4.1.3.1.1.4.2
rand_044	-1.4324573	89.9356021	10	11.2.2.1.1.1.4.2.3.3
rand_044	-1.4324573	89.9356021	21	11.2.2.1.1.1.4.2.3.3.4.2.3.1.3.2.1.1.2.4.3
rand_045	20.2043482	-174.4748242	10	8.4.3.3.2.3.3.1.2.2
rand_045	20.2043482	-174.4748242	21	8.4.3.3.2.3.3.1.2.2.3.4.3.1.4.1.2.2.1.3.4
rand_046	60.5001286	-4.5554549	10	5.1.3.1.1.3.4.2.2.3
rand_046	60.5001286	-4.5554549	21	5.1.3.1.1.3.4.2.2.3.3.2.3.3.2.1.2.2.3.1.1
rand_047	-45.0468517	173.8971496	10	17.3.3.2.2.3.3.3.3.1
rand_047	-45.0468517	173.8971496	21	17.3.3.2.2.3.3.3.3.1.3.4.1.3.3.3.1.2.3.4.3
rand_048	8.4110651	-85.2368661	10	9.3.3.2.3.1.2.4.1.1
rand_048	8.4110651	-85.2368661	21	9.3.3.2.3.1.2.4.1.1.3.4.4.2.3.1.1.4.2.4.3
rand_049	13.6604906	48.0621596	10	6.3.3.3.1.2.2.2.4.1
rand_049	13.6604906	48.0621596	21	6.3.3.3.1.2.2.2.4.1.2.3.1.1.4.1.1.1.4.3.1
rand_050	-49.6415639	29.8926226	10	20.3.3.4.4.1.3.1.1.3
rand_050	-49.6415639	29.8926226	21	20.3.3.4.4.1.3.1.1.3.2.2.3.4.2.1.4.3.3.2.1
rand_051	17.6235917	-158.4356219	10	8.3.4.3.4.2.4.4.2.3
rand_051	17.6235917	-158.4356219	21	8.3.4.3.4.2.4.4.2.3.4.2.1.2.1.2.1.4.4.2.4
rand_052	-36.5549177	30.0086335	10	20.3.1.3.3.3.2.2.2.4
rand_052	-36.5549177	30.0086335	21	20.3.1.3.3.3.2.2.2.4.4.3.2.3.2.4.4.3.2.1.3
rand_053	-53.6996706	179.6691111	10	17.3.3.1.2.3.1.2.3.3
rand_053	-53.6996706	179.6691111	21	17.3.3.1.2.3.1.2.3.3.1.2.3.2.1.1.3.1.4.1.4
rand_054	32.7683974	-25.5370612	10	5.3.3.4.1.1.2.4.3.1
rand_054	32.7683974	-25.5370612	21	5.3.3.4.1.1.2.4.3.1.4.4.4.4.2.2.2.4.3.4.2
rand_055	-13.5284663	163.5057368	10	12.2.2.3.3.1.3.3.4.1
rand_055	-13.5284663	163.5057368	21	12.2.2.3.3.1.3.3.4.1.2.3.3.3.3.4.2.4.2.3.2
rand_056	76.0315723	163.9338808	10	3.1.4.1.3.2.1.2.2.1
rand_056	76.0315723	163.9338808	21	3.1.4.1.3.2.1.2.2.1.3.4.4.4.4.4.2.2.1.3.3
rand_057	9.9102459	-165.6872226	10	8.3.3.3.2.4.1.3.2.4
rand_057	9.9102459	-165.6872226	21	8.3.3.3.2.4.1.3.2.4.3.3.1.4.4.3.1.2.1.1.4
rand_058	30.5405658	69.5501488	10	1.3.1.1.4.4.1.4.3.3
rand_058	30.5405658	69.5501488	21	1.3.1.1.4.4.1.4.3.3.3.2.4.4.1.1.2.2.4.1.3
rand_059	-35.9064751	37.8005766	10	16.1.1.2.3.4.3.4.2.1
rand_059	-35.9064751	37.8005766	21	16.1.1.2.3.4.3.4.2.1.4.1.3.4.1.2.4.2.3.2.2
rand_060	-81.3937705	70.7335181	10	16.2.1.4.4.4.4.4.1.3
rand_060	-81.3937705	70.7335181	21	16.2.1.4.4.4.4.4.1.3.2.3.2.3.4.3.1.3.4.3.2
rand_061	29.4247031	50.4131994	10	6.3.2.3.4.1.3.4.2.3
rand_061	29.4247031	50.4131994	21	6.3.2.3.4.1.3.4.2.3.4.3.2.1.3.2.4.4.3.4.4
rand_062	-50.3196459	-10.8555689	10	20.4.4.3.1.2.1.1.2.4
rand_062	-50.3196459	-10.8555689	21	20.4.4.3.1.2.1.1.2.4.1.4.2.1.4.3.1.1.3.3.2
rand_063	-21.5077796	-113.8789059	10	13.2.1.4.1.1.3.4.2.4
rand_063	-21.5077796	-113.8789059	21	13.2.1.4.1.1.3.4.2.4.2.1.4.1.4.4.4.4.4.1.1
rand_064	-46.9843991	9.5666670	10	20.4.4.2.1.2.3.4.1.3
rand_064	-46.9843991	9.5666670	21	20.4.4.2.1.2.3.4.1.3.4.4.3.2.2.1.2.4.2.2.1
rand_065	-19.0528992	152.6374502	10	12.2.3.3.1.2.4.2.2.1
rand_065	-19.0528992	152.6374502	21	12.2.3.3.1.2.4.2.2.1.2.3.1.2.3.2.4.1.4.1.1
rand_066	44.3753347	-106.7412238	10	4.4.2.4.2.3.2.2.4.4
rand_066	44.3753347	-106.7412238	21	4.4.2.4.2.3.2.2.4.4.1.3.1.2.2.2.4.1.4.3.4
rand_067	59.2022588	-135.3608790	10	4.4.1.1.4.3.4.4.4.3
rand_067	59.2022588	-135.3608790	21	4.4.1.1.4.3.4.4.4.3.3.3.3.4.4.2.1.1.2.3.3
rand_068	-59.0589239	163.8871266	10	17.4.2.4.3.2.3.3.4.2
rand_068	-59.0589239	163.8871266	21	17.4.2.4.3.2.3.3.4.2.1.2.2.2.1.4.3.2.1.1.4
rand_069	-20.2775434	-56.0930488	10	14.2.4.4.2.3.4.1.3.3
rand_069	-20.2775434	-56.0930488	21	14.2.4.4.2.3.4.1.3.3.1.3.1.1.1.2.4.4.3.1.4
rand_070	-31.2536591	-36.1923191	10	19.3.1.1.3.2.1.3.4.4
rand_070	-31.2536591	-36.1923191	21	19.3.1.1.3.2.1.3.4.4.4.2.4.2.3.3.3.4.1.1.3
rand_071	31.3994770	-115.7099195	10	9.1.3.1.2.1.3.2.3.4
rand_071	31.3994770	-115.7099195	21	9.1.3.1.2.1.3.2.3.4.4.4.4.1.4.4.3.1.2.4.3
rand_072	-13.0984617	75.3103692	10	11.4.4.1.4.2.4.1.4.1
rand_072	-13.0984617	75.3103692	21	11.4.4.1.4.2.4.1.4.1.4.3.4.2.2.3.3.3.3.4.1
rand_073	72.9541377	29.3505211	10	1.1.4.4.1.3.1.3.2.3
rand_073	72.9541377	29.3505211	21	1.1.4.4.1.3.1.3.2.3.2.3.2.3.2.4.1.4.4.3.3
rand_074	-28.3612115	22.5986099	10	15.2.1.3.4.1.4.3.3.1
rand_074	-28.3612115	22.5986099	21	15.2.1.3.4.1.4.3.3.1.2.1.3.3.1.2.1.2.4.1.1
rand_075	-42.0614388	44.9639999	10	16.1.4.1.2.2.2.3.3.1
rand_075	-42.0614388	44.9639999	21	16.1.4.1.2.2.2.3.3.1.4.1.3.1.3.4.4.3.1.1.4
rand_076	-79.4464510	43.5002506	10	16.2.1.3.2.3.3.4.3.1
rand_076	-79.4464510	43.5002506	21	16.2.1.3.2.3.3.4.3.1.4.4.2.2.3.4.1.2.4.2.2
rand_077	-5.5055602	132.1481671	10	12.4.3.4.1.3.2.3.3.1
rand_077	-5.5055602	132.1481671	21	12.4.3.4.1.3.2.3.3.1.1.2.3.3.1.1.2.3.4.2.3
rand_078	-36.1759285	-172.4849666	10	18.1.1.4.2.1.3.1.4.2
rand_078	-36.1759285	-172.4849666	21	18.1.1.4.2.1.3.1.4.2.3.2.3.1.3.4.1.4.4.3.4
rand_079	-85.2867421	6.2956302	10	20.2.1.1.4.4.1.4.1.2
rand_079	-85.2867421	6.2956302	21	20.2.1.1.4.4.1.4.1.2.3.4.4.2.2.3.1.1.2.1.1
rand_080	-32.8239701	117.1887247	10	17.1.1.3.3.3.1.1.1.3
rand_080	-32.8239701	117.1887247	21	17.1.1.3.3.3.1.1.1.3.4.2.4.2.2.2.2.1.3.2.1
rand_081	75.7650481	-25.4254297	10	5.1.4.3.2.4.4.2.4.2
rand_081	75.7650481	-25.4254297	21	5.1.4.3.2.4.4.2.4.2.2.1.4.2.3.3.1.1.3.1.1
rand_082	-35.2485790	20.4182788	10	20.3.4.1.4.4.4.4.4.4
rand_082	-35.2485790	20.4182788	21	20.3.4.1.4.4.4.4.4.4.4.4.1.2.2.3.2.3.4.2.4
rand_083	-47.9556559	124.4802547	10	17.1.2.2.4.4.3.4.3.2
